@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI design-IN ',SAMSUNG,UNCATEGORIZED
'beli-VBT samsung-RB takut-NEG gampang-JJ rusak-JJ tidak-NEG tidak-NEG dipake-VBT charging-NNP ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'rusak-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-NN ',SAMSUNG,UNCATEGORIZED
'jelekkalau-JJ urus-VBT lumayan-JJ positif-JJ samsung-VBT ',SAMSUNG,UNCATEGORIZED
'rusak-JJ tidak-NEG resmi-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI makan-VBT ',SAMSUNG,UNCATEGORIZED
'ag-IN bagus-NN yah-SC ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'rusak-JJ mati-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI tidak-NEG mewah-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'bagus-IN kah-NNP lambat-JJ ',SAMSUNG,UNCATEGORIZED
'tunggu-VBT bagus-IN samsung-VBT ',SAMSUNG,UNCATEGORIZED
'iyasih-NNG xiaomi-SYM bagus-IN ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'mewah-JJ ccok-NNP bagus-IN ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI hands-RB on-FW ',SAMSUNG,UNCATEGORIZED
'bagus-IN menang-VBT xiaomi-SYM lihat-VBT ',SAMSUNG,UNCATEGORIZED
'tidak-NEG puas-JJ rteb-NNP rusak-JJ makan-VBT busuk-JJ beli-VBT id-NNP ',SAMSUNG,UNCATEGORIZED
'bagus-NN ',SAMSUNG,UNCATEGORIZED
'chargernya-NNP rusak-JJ samsung-JJ young-FW young-FW ',SAMSUNG,UNCATEGORIZED
'jelek-JJ kaya-JJ samsung-VBT ',SAMSUNG,UNCATEGORIZED
'suka-VBI samsung-SC gede-JJ ',SAMSUNG,UNCATEGORIZED
'rusak-JJ ip-NNP isi-NNP cuma-VBT ',SAMSUNG,UNCATEGORIZED
'samsung-JJ xiaomi-SYM bagus-NN ',SAMSUNG,UNCATEGORIZED
'keren-JJ rilis-JJ bagus-IN murah-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-IN beli-VBT samsung-SC hah-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI selfie-IN samsung-VBT cocok-JJ kece-JJ ',SAMSUNG,UNCATEGORIZED
'ag-IN tidak-NEG stabil-JJ suka-VBI pas-JJ samsung-VBT tidak-NEG stabil-JJ tidak-NEG combo-FW xtra-SYM ',SAMSUNG,UNCATEGORIZED
'suka-VBI tidak-NEG mewah-JJ ',SAMSUNG,UNCATEGORIZED
'mantap-JJ kuat-JJ ',SAMSUNG,UNCATEGORIZED
'habis-VBI habis-VBI bagus-NN samsung-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI best-JJ smartphone-IN fis-FW and-FW samsung-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'rusak-JJ rusak-JJ bentar-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI sesuai-RB ',SAMSUNG,UNCATEGORIZED
'bagus-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI juta-CDP sempurna-JJ ',SAMSUNG,UNCATEGORIZED
'rilis-NNP samsung-VBT ',SAMSUNG,UNCATEGORIZED
'cukupi-JJ oled-IN iphone-NNP ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'js-RB habis-VBI baru-JJ memory-VBT kurang-RB bnyak-VBT suka-VBI tidak-NEG ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'kampreet-PRP headshet-MD samsung-VBT cepat-JJ rusak-JJ ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'suka-VBI with-FW in-FW samsung-VBT ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'samsung-JJ a-FW menang-VBT positif-JJ suka-VBI ',SAMSUNG,UNCATEGORIZED
'sang-RP datang-VBI luna-JJ bagus-NN iya-NNP ',SAMSUNG,UNCATEGORIZED
'rusak-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI lengkap-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'bagus-IN samsung-VBT ',SAMSUNG,UNCATEGORIZED
'samsung-JJ suka-VBI of-FW ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI dapetin-MD mysterious-NNP quiz-NNP creativ-NNP ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI rgang-NNP samsung-VBT antutu-IN ',SAMSUNG,UNCATEGORIZED
'samsung-JJ second-IN bagus-IN lengkap-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI button-VBT ',SAMSUNG,UNCATEGORIZED
'samsung-JJ hadir-VBI blog-FW ',SAMSUNG,UNCATEGORIZED
'mantap-JJ kuat-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI hina-CC milik-VBT beli-VBT hancur-RB ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-IN lari-VBI lari-VBI tidak-NEG ',IPHONE,UNCATEGORIZED
'x-SYM suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'beli-VBT bagus-IN ',IPHONE,UNCATEGORIZED
'bagus-NN ',IPHONE,UNCATEGORIZED
'light-FW bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'nya-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'iphone-NNP bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI taknak-NEG iphone-NNP ',IPHONE,UNCATEGORIZED
'bagus-IN ',IPHONE,UNCATEGORIZED
'lhkitorang-RB suka-VBI xbonya-SYM ',IPHONE,UNCATEGORIZED
'dibeliin-VBT bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI canggih-JJ iphone-NNP ',IPHONE,UNCATEGORIZED
'bmwmmg-SC suka-VBI ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'sonya-JJ xperia-SYM bagus-NN iphone-NNP ',IPHONE,UNCATEGORIZED
'terang-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI adik-NNP ',IPHONE,UNCATEGORIZED
'kaya-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'rusak-JJ ',IPHONE,UNCATEGORIZED
'kini-RB ganteng-JJ lbh-RB suka-VBI kaya-JJ bela-VBT ',IPHONE,UNCATEGORIZED
'suka-VBI kaya-JJ samsung-VBT ',IPHONE,UNCATEGORIZED
'cepat-JJ lambat-JJ parah-JJ tidak-NEG iphone-NNP ',IPHONE,UNCATEGORIZED
'bagus-IN senang-JJ nak-JJ beli-VBT rilek-JJ ',IPHONE,UNCATEGORIZED
'merk-VBT bagus-NN samsungiphone-JJ ',IPHONE,UNCATEGORIZED
'',IPHONE,UNCATEGORIZED
'tetiba-JJ suka-VBI iphone-NNP ish-FW ',IPHONE,UNCATEGORIZED
'iphone-JJ habis-VBI ',IPHONE,UNCATEGORIZED
'a-FW suka-VBI awk-JJ awk-JJ ',IPHONE,UNCATEGORIZED
'nya-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'fasilitasi-FW wireless-FW charging-FW ',IPHONE,UNCATEGORIZED
'',IPHONE,UNCATEGORIZED
'guna-SC ',IPHONE,UNCATEGORIZED
'suka-VBI hina-CC milik-VBT beli-VBT hancur-RB ',IPHONE,UNCATEGORIZED
'suka-VBI keras-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'sepurna-IN masuk-VBT mantap-JJ ',IPHONE,UNCATEGORIZED
'sepurna-IN masuk-VBT mantap-JJ ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-NN ',IPHONE,UNCATEGORIZED
'suka-VBI glass-JJ ',IPHONE,UNCATEGORIZED
'rusak-JJ ',IPHONE,UNCATEGORIZED
'rusak-JJ negatif-JJ tidak-NEG liat-JJ bantu-VBI ',IPHONE,UNCATEGORIZED
'masuk-VBT suka-VBI penuh-JJ ',IPHONE,UNCATEGORIZED
'porno-JJ mantap-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI atas-IN itunes-DT ',IPHONE,UNCATEGORIZED
'bagus-IN ',IPHONE,UNCATEGORIZED
'mantap-JJ iya-NNP ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ringkas-JJ ringkas-JJ ringkas-JJ terima-VBT ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'xiao-SYM bagus-IN pop-JJ ',IPHONE,UNCATEGORIZED
'bagus-IN g-SC pop-JJ ',IPHONE,UNCATEGORIZED
'porno-JJ mantap-JJ kaget-NNP ',IPHONE,UNCATEGORIZED
'canggih-JJ canggih-JJ bagus-NN bagus-IN suka-VBI samsung-JJ ',IPHONE,UNCATEGORIZED
'delapan-CDP baik-JJ iphone-NNP habis-VBI ',IPHONE,UNCATEGORIZED
'lihat-VBT suka-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-NN tidak-NEG bagus-IN makan-VBT tidak-NEG ',IPHONE,UNCATEGORIZED
'rusak-JJ ',IPHONE,UNCATEGORIZED
'cantik-JJ mantap-JJ nampak-CC ',IPHONE,UNCATEGORIZED
'pandai-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-NN murah-JJ ',IPHONE,UNCATEGORIZED
'bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'suka-VBI luang-JJ ',IPHONE,UNCATEGORIZED
'bagus-NN cepat-JJ lcd-RB nin-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI show-CDI off-FW iphone-NNP ish-FW ',IPHONE,UNCATEGORIZED
'suka-VBI maju-JJ ',IPHONE,UNCATEGORIZED
'iphone-NNP benci-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'benci-VBI mase-RB kite-PRP ade-FW lahir-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'ye-NNP suka-VBI selfie-IN iphone-NNP dik-VBT ',IPHONE,UNCATEGORIZED
'suka-VBI of-FW keren-JJ ',IPHONE,UNCATEGORIZED
'bagus-IN cantik-JJ pas-JJ cerah-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'memding-VBT bagus-IN awet-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI yu-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI cuma-VBI jutaani-CDP ',IPHONE,UNCATEGORIZED
'you-NNP suka-VBI iphone-JJ suka-VBI iphone-JJ suka-VBI you-FW hayom-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI makan-VBT yen-FW ',IPHONE,UNCATEGORIZED
'offer-FW iphone-NNP memg-VBT tunggu-VBT offer-FW suka-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP terima-VBT ',IPHONE,UNCATEGORIZED
'iphone-NNP chip-NNP ',IPHONE,UNCATEGORIZED
'benci-VBI rn-NNP ',IPHONE,UNCATEGORIZED
'baik-JJ rusak-JJ ',IPHONE,UNCATEGORIZED
'tidak-NEG charger-NNP rusak-JJ melulu-VBT ',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'atawa-IN butut-VBT atawa-IN rusak-JJ nya-JJ ',IPHONE,UNCATEGORIZED
'porno-JJ mantap-JJ ',IPHONE,UNCATEGORIZED
'porno-JJ mantap-JJ iri-JJ smartphone-SC iphone-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'siap-JJ jet-NNP black-FW ',IPHONE,UNCATEGORIZED
'putih-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'mantap-JJ ',IPHONE,UNCATEGORIZED
'yeh-NNP suka-VBI hmm-FW those-FW memories-VBT terima-VBT iamneeta-PRP ',IPHONE,UNCATEGORIZED
'tidak-NEG iphone-NNG ss-RB suka-VBI mati-VBI suka-VBI mati-VBI yah-SC ',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'porno-JJ mantap-JJ tidur-VBI ludes-JJ ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI and-FW ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'penat-JJ beli-VBT bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI samsung-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI tidak-NEG black-NNP sremmurdgucci-SC ',IPHONE,UNCATEGORIZED
'i-DT suka-VBI ',IPHONE,UNCATEGORIZED
'elok-JJ iphone-NNP bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI parody-DT ',IPHONE,UNCATEGORIZED
'bingung-JJ beli-VBT beli-VBT bagus-IN beli-VBT ',IPHONE,UNCATEGORIZED
'dual-CDP ',IPHONE,UNCATEGORIZED
'bingung-JJ beli-VBT beli-VBT beli-VBT bagus-NN ',IPHONE,UNCATEGORIZED
'gagal-JJ dikiran-VBT bagus-NN tidak-NEG dewa-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'shut-SC ',IPHONE,UNCATEGORIZED
'rusak-JJ tinggal-VBI blokir-NNP tidak-NEG yll-FW ',IPHONE,UNCATEGORIZED
'tidak-NEG beli-VBT iya-NNP kadung-RB benci-VBI dendam-IN sendiri-JJ ',IPHONE,UNCATEGORIZED
'',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'suka-VBI dance-CC suka-VBI selfie-IN sempat-RB menangin-VBT ikut-VBI chocofunbyebyegalau-FW ',IPHONE,UNCATEGORIZED
'dual-CDP lampaui-JJ milik-VBT ',IPHONE,UNCATEGORIZED
'mantap-JJ ',IPHONE,UNCATEGORIZED
'kaya-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'dah-JJ hanise-RB ugh-JJ benci-VBI cakap-JJ ',IPHONE,UNCATEGORIZED
'so-NNP those-FW curi-VBT suka-VBI selfie-IN kat-VBT ye-NNP justasking-NNP ',IPHONE,UNCATEGORIZED
'charger-NNP rusak-JJ beli-VBT rusak-JJ and-FW ',IPHONE,UNCATEGORIZED
'akhiri-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'beli-VBT bagus-NN murah-JJ jap-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI and-FW mudah-JJ block-NNP ',IPHONE,UNCATEGORIZED
'mantap-JJ bgus-SC dipke-VBT hahhah-VBI ',IPHONE,UNCATEGORIZED
'nya-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'bagus-IN beli-VBT iphone-NNP ',IPHONE,UNCATEGORIZED
'nya-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'gagal-JJ si-RP bagus-IN tidak-NEG ',IPHONE,UNCATEGORIZED
'beli-VBT suka-VBI handy-RB suka-VBI besaq-JJ ',IPHONE,UNCATEGORIZED
'xavierus-SYM lantas-JJ banting-VBI rusak-JJ ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'hot-NNP kat-VBT class-NNP hot-NNP kat-VBT suka-VBI hot-NNP kat-VBT mesti-SC iphone-NNP ',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'beli-VBT bagus-NN ',IPHONE,UNCATEGORIZED
'iphone-NNP tampil-VBT dual-CDP ois-FW ',IPHONE,UNCATEGORIZED
'nikmati-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'dika-VBT rusak-JJ jatuh-VBI si-RP merah-VBT tidak-NEG dipake-VBT ',IPHONE,UNCATEGORIZED
'a-FW bagus-IN tepuk-RB a-FW iphone-NNP ',IPHONE,UNCATEGORIZED
'that-FW suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI to-FW on-FW ',IPHONE,UNCATEGORIZED
'rusak-JJ an-FW thread-FW negatif-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI big-FW dual-CDP ',IPHONE,UNCATEGORIZED
'kembali-RB rusak-JJ ',IPHONE,UNCATEGORIZED
'mudah-JJ mudah-JJ benci-VBI pergi-VBI ',IPHONE,UNCATEGORIZED
'merk-VBT urus-VBT bagus-IN iphone-NNP non-NEG ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-NN tidak-NEG lecet-JJ positif-JJ ',IPHONE,UNCATEGORIZED
'glamour-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'beli-VBT ramai-JJ ramai-JJ ramai-JJ suka-VBI tambah-RB ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'rusak-JJ susah-JJ tidak-NEG ',IPHONE,UNCATEGORIZED
'suka-VBI asli-JJ ',IPHONE,UNCATEGORIZED
'kaya-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'xmau-SYM cakap-JJ suka-VBI iphone-NNG comparison-FW pg-NNP menang-VBT ',IPHONE,UNCATEGORIZED
'suka-VBI lambat-JJ ',IPHONE,UNCATEGORIZED
'iphone-JJ second-IN bagus-IN positif-JJ ',IPHONE,UNCATEGORIZED
'charger-NNP ip-NNP suka-VBI rusak-JJ tidak-NEG awet-JJ charger-NNP ',IPHONE,UNCATEGORIZED
'your-FW iphone-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'jelek-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'kaya-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'tidak-NEG bagus-IN iphone-NNP butut-VBT ',IPHONE,UNCATEGORIZED
'benci-VBI jugak-RB ',IPHONE,UNCATEGORIZED
'tulus-JJ iphone-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'',IPHONE,UNCATEGORIZED
